Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.35187055309699555,0.941450940679958,-0.5540229370030374,0,42 Coin
404,Scrypt,PoW/PoS,1055184902.04,532000000.0,-0.3351727853340852,0.9417792034424541,-0.554433354617373,0,404Coin
1337,X13,PoW/PoS,29279424622.5027,314159265359.0,2.285166444593705,1.569877304403903,-0.6164023487487342,0,EliteCoin
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.15055539422595635,-1.338541596370502,0.20410050802845284,2,Bitcoin
ETH,Ethash,PoW,107684222.6865,0.0,-0.14911575092096013,-1.980895837608604,0.3955304465077867,2,Ethereum
LTC,Scrypt,PoW,63039243.3000049,84000000.0,-0.16205347401137757,-1.115273241599324,0.0046451219727985105,2,Litecoin
DASH,X11,PoW/PoS,9031294.37563393,22000000.0,-0.41317690686018843,1.1224197186687095,-0.44829784719925375,0,Dash
XMR,CryptoNight-V7,PoW,17201143.1449131,0.0,-0.15472689445256665,-2.195711990608304,0.39312936024180384,2,Monero
ETC,Ethash,PoW,113359703.0,210000000.0,-0.14755207071912074,-1.980970642122056,0.39550911160373353,2,Ethereum Classic
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.166097032103331,-2.1488623242601292,0.4030223116962513,2,ZCash
BTS,SHA-512,PoS,2741570000.0,3600570502.0,-0.3133944893221657,1.9720736011997,-0.37959865380966623,0,Bitshares
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.17659321238771555,-1.7273890470802848,0.34340328249462626,2,DigiByte
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.3391998550127831,0.7181742480439374,-0.3545912874645852,0,BitcoinDark
XPY,SHA-256,PoS,11995334.8847328,12500000.0,-0.26124747237989315,0.6607369477450029,-0.09847038508802426,0,PayCoin
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.16320257202727537,-1.1152784436562415,0.00467054885997307,2,ProsperCoin
KOBO,X15,PoW/PoS,25542535.5881841,350000000.0,-0.27353432620010204,1.7110473601929241,-0.6367024525597232,0,KoboCoin
SPR,X11,PoW,11149733.9976203,20000000.0,-0.22471724239372395,-0.9343029792524497,0.11039901219610748,2,Spreadcoin
ARG,Scrypt,PoW,12205795.4449549,64000000.0,-0.16281783481446468,-1.115291136449776,0.004664374015776856,2,Argentum
AUR,Scrypt,PoW/PoS,18135099.992959,16768584.0,-0.3515293183524719,0.9414537636779368,-0.554030694818695,0,Aurora Coin
BLU,Scrypt,PoW/PoS,635423900.0,0.0,-0.34409481675362946,0.9417670433340682,-0.5542405042269051,0,BlueCoin
XMY,Multiple,PoW,1688254250.0,2000000000.0,-0.07751849833971956,-1.725199942729388,0.3484851660008273,2,MyriadCoin
MOON,Scrypt,PoW,88.0,384000000000.0,2.5688816180949585,-1.2572216733394568,-0.030784529548954016,2,MoonCoin
ZET,SHA-256,PoW,170204389.754849,169795588.0,-0.14763322831018266,-1.3385208466909482,0.20403462881352277,2,ZetaCoin
SXC,Scrypt,PoW,128940951.183046,250000000.0,-0.16006587678288473,-1.1153018206403582,0.004607228798194455,2,SexCoin
QTL,Scrypt,PoW,7357794.7925,100000000.0,-0.1626210066985704,-1.1153068558084624,0.004662709676138721,2,Quatloo
ENRG,Scrypt,PoW/PoS,123062801.128773,0.0,-0.3503646237814467,0.9415121604032222,-0.554065073319675,0,EnergyCoin
QRK,Quark,PoW,259557164.91477,247000000.0,-0.20554475831733857,-0.37888766396670487,0.06803389545365611,2,QuarkCoin
RIC,Groestl,PoW,49548585.1412917,84000000.0,-0.2077604547816914,-1.2197651006715213,0.1815566639556717,2,Riecoin
DGC,Scrypt,PoW,33442988.3440364,48166000.0,-0.16267061830632384,-1.1152747184970417,0.004658564593869142,2,Digitalcoin 
