Unnamed: 0,CoinName
42,42 Coin
404,404Coin
1337,EliteCoin
BTC,Bitcoin
ETH,Ethereum
LTC,Litecoin
DASH,Dash
XMR,Monero
ETC,Ethereum Classic
ZEC,ZCash
BTS,Bitshares
DGB,DigiByte
BTCD,BitcoinDark
XPY,PayCoin
PRC,ProsperCoin
KOBO,KoboCoin
SPR,Spreadcoin
ARG,Argentum
AUR,Aurora Coin
BLU,BlueCoin
XMY,MyriadCoin
MOON,MoonCoin
ZET,ZetaCoin
SXC,SexCoin
QTL,Quatloo
ENRG,EnergyCoin
QRK,QuarkCoin
RIC,Riecoin
DGC,Digitalcoin 
BTB,BitBar
CAT,Catcoin
CBX,CryptoBullion
CCN,CannaCoin
CRYPT,CryptCoin
CSC,CasinoCoin
DMD,Diamond
XVG,Verge
DVC,DevCoin
EAC,EarthCoin
EFL,E-Gulden
EMC2,Einsteinium
EMD,Emerald
EXCL,Exclusive Coin
FLT,FlutterCoin
FRK,Franko
FTC,FeatherCoin
GDC,GrandCoin
GLC,GlobalCoin
GLD,GoldCoin
HBN,HoboNickels
HYP,HyperStake
IFC,Infinite Coin
IOC,IOCoin
IXC,IXcoin
KGC,KrugerCoin
LKY,LuckyCoin
LTB,Litebar 
MAX,MaxCoin
MEC,MegaCoin
MED,MediterraneanCoin
MINT,MintCoin
MINC,MinCoin
MZC,MazaCoin
NAUT,Nautilus Coin
NAV,NavCoin
NOBL,NobleCoin
NMC,Namecoin
NYAN,NyanCoin
OPAL,OpalCoin
ORB,Orbitcoin
POT,PotCoin
PXC,PhoenixCoin
RDD,Reddcoin
RPC,RonPaulCoin
SBC,StableCoin
SMC,SmartCoin
SUPER,SuperCoin
SYNC,SyncCoin
SYS,SysCoin
TES,TeslaCoin
TGC,TigerCoin
TIT,TittieCoin
TOR,TorCoin
TRC,TerraCoin
UNB,UnbreakableCoin
UNO,Unobtanium
URO,UroCoin
USDE,UnitaryStatus Dollar
UTC,UltraCoin
VIA,ViaCoin
VRC,VeriCoin
VTC,Vertcoin
WDC,WorldCoin
XC,X11 Coin
XCR,Crypti
XJO,JouleCoin
XST,StealthCoin
ZCC,ZCC Coin
BCN,ByteCoin
